maxsimulationtime=1000	models=Markov	randomamplitude=1.0	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	maxspeed=10	minspeed=5	memoryfactor=0.8	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
1	0	64	488	1004	3001	0
1	1	448	142	0082	0035	0
1	2	74	260	0095	0028	0
1	3	13	160	1012	1036	0
1	4	234	261	1002	1086	0
1	5	448	44	1004	3008	0
1	6	404	212	1017	2023	0
1	7	127	467	1002	108	0
1	8	132	228	1015	008	0
1	9	230	46	0098	0026	0
2	0	58	488	6043	3015	0
2	1	453	143	5071	0027	0
2	2	80	261	6069	002	0
2	3	10	167	6038	1094	0
2	4	231	266	6076	2016	0
2	5	440	46	708	208	0
2	6	401	217	4097	2007	0
2	7	121	475	1002	2027	0
2	8	141	229	7082	0017	0
2	9	230	52	6009	1059	0
3	0	52	490	1	2082	0
3	1	453	148	0085	1045	0
3	2	86	264	1001	0041	0
3	3	16	171	1008	0059	0
3	4	229	272	0085	108	0
3	5	433	50	1007	2061	0
3	6	404	223	1024	1017	0
3	7	119	485	1005	1071	0
3	8	147	235	1005	0078	0
3	9	233	57	0098	0096	0
4	0	45	490	7006	3005	0
4	1	452	152	5032	1093	0
4	2	90	269	606	0094	0
4	3	22	175	6084	0062	0
4	4	229	278	6073	1069	0
4	5	425	54	8011	2076	0
4	6	403	228	4031	1073	0
4	7	127	493	9092	0077	0
4	8	155	238	8022	0035	0
4	9	234	62	501	1032	0
5	0	39	493	0081	2074	0
5	1	449	155	0072	2037	0
5	2	96	272	0095	0044	0
5	3	29	177	1011	0028	0
5	4	225	283	0097	2019	0
5	5	419	60	1012	2036	0
5	6	398	231	103	2059	0
5	7	112	493	1007	3051	0
5	8	164	238	1006	6027	0
5	9	239	64	1001	0043	0
6	0	33	494	7049	2087	0
6	1	444	156	7006	2093	0
6	2	102	275	7022	0043	0
6	3	36	179	6011	0034	0
6	4	222	289	7041	2003	0
6	5	410	63	8062	2079	0
6	6	393	234	4008	2065	0
6	7	103	496	8067	2089	0
6	8	172	241	8005	0032	0
6	9	245	67	6026	0047	0
7	0	28	491	0078	3061	0
7	1	441	160	0073	2025	0
7	2	108	271	0096	5076	0
7	3	37	187	1028	1041	0
7	4	215	291	0094	2087	0
7	5	400	63	1015	3018	0
7	6	388	235	1039	2086	0
7	7	93	495	1017	3021	0
7	8	180	238	1008	5093	0
7	9	243	74	101	1083	0
8	0	25	486	7075	4016	0
8	1	437	163	6014	2046	0
8	2	114	268	7015	5085	0
8	3	37	194	5069	1059	0
8	4	210	296	7067	2033	0
8	5	391	60	7089	3052	0
8	6	381	236	4073	3005	0
8	7	83	495	8081	3014	0
8	8	186	243	7094	0068	0
8	9	249	75	6003	0019	0
9	0	20	483	008	3074	0
9	1	433	165	0078	2064	0
9	2	119	263	0099	5039	0
9	3	41	201	1034	1006	0
9	4	212	303	0092	1029	0
9	5	383	60	1007	3006	0
9	6	375	238	104	2078	0
9	7	75	487	1025	3089	0
9	8	193	237	1011	5062	0
9	9	256	77	1017	0029	0
10	0	13	483	8014	3006	0
10	1	430	169	6051	2022	0
10	2	123	257	7004	503	0
10	3	45	206	5015	0085	0
10	4	213	311	8045	1038	0
10	5	379	68	8037	2007	0
10	6	370	235	4036	3071	0
10	7	66	481	8015	3076	0
10	8	201	234	7086	5091	0
