maxsimulationtime=1000	models=Markov	randomamplitude=1.0	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	maxspeed=10	minspeed=5	memoryfactor=0.8	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
19	1	136	248	0092	1047	0
19	2	229	302	1019	1056	0
19	3	336	138	1017	5038	0
19	4	3	219	0025	2084	0
19	5	380	470	1009	408	0
19	6	434	113	101	0084	0
19	7	272	439	1019	0095	0
19	8	192	302	1088	1026	0
19	9	220	128	1028	3028	0
20	0	247	324	8088	601	0
20	1	135	254	6086	1075	0
20	2	235	309	8004	0087	0
20	3	334	127	902	406	0
20	4	4	219	2037	5092	0
20	5	382	463	6089	5008	0
20	6	432	120	6067	1081	0
20	7	278	442	5028	0039	0
20	8	193	309	3074	1043	0
20	9	214	128	5039	3006	0
21	0	254	330	1001	0061	0
21	1	129	259	1007	2042	0
21	2	244	312	1023	003	0
21	3	335	118	1004	4075	0
21	4	5	220	0059	0088	0
21	5	380	456	1009	404	0
21	6	431	127	1011	1079	0
21	7	284	441	1018	6011	0
21	8	193	317	2003	1058	0
21	9	207	127	1026	3035	0
22	0	257	338	8058	1032	0
22	1	128	266	6025	1073	0
22	2	249	320	706	1004	0
22	3	329	109	9083	4014	0
22	4	3	221	3075	2034	0
22	5	380	449	6049	4067	0
22	6	424	129	5087	2079	0
22	7	290	438	503	5085	0
22	8	194	324	3071	1041	0
22	9	201	131	5082	206	0
23	0	261	346	1005	1012	0
23	1	123	271	1018	2042	0
23	2	252	329	1027	1028	0
23	3	325	100	1005	4025	0
23	4	2	223	0051	2014	0
23	5	386	448	0095	6008	0
23	6	418	131	1013	2082	0
23	7	295	438	1007	0	0
23	8	196	332	2008	1026	0
23	9	200	138	1016	1063	0
24	0	263	355	9028	1035	0
24	1	117	274	505	2056	0
24	2	245	337	708	2024	0
24	3	320	92	9005	4019	0
24	4	2	224	3004	1035	0
24	5	384	444	4077	4025	0
24	6	412	131	5056	3021	0
24	7	301	437	5036	6015	0
24	8	199	340	4024	1027	0
24	9	195	143	6037	2032	0
25	0	271	362	1011	0065	0
25	1	119	280	1017	1019	0
25	2	235	338	1031	3007	0
25	3	319	83	1	4058	0
25	4	3	226	0052	1051	0
25	5	382	440	0094	4018	0
25	6	409	136	0099	2014	0
25	7	307	439	1022	0025	0
25	8	207	343	2007	004	0
25	9	199	149	102	1001	0
26	0	278	368	9	0074	0
26	1	121	286	5023	1027	0
26	2	226	341	7051	2074	0
26	3	317	75	8045	4044	0
26	4	3	226	0097	0054	0
26	5	381	434	5093	4069	0
26	6	408	142	6057	1072	0
26	7	314	441	5041	0032	0
26	8	213	350	4021	0077	0
26	9	198	156	507	1082	0
27	0	287	367	1004	6011	0
27	1	126	291	1024	0079	0
27	2	216	343	1041	2099	0
27	3	310	68	101	3091	0
27	4	3	226	0005	0081	0
27	5	377	430	101	3099	0
27	6	411	149	1015	1008	0
27	7	320	442	1022	0024	0
27	8	218	356	2002	0096	0
27	9	192	160	1018	2055	0
28	0	296	364	8083	5095	0
28	1	120	293	5021	2081	0
28	2	205	345	7052	2097	0
28	3	308	60	8013	4054	0
28	4	2	226	24099	3081	0
28	5	376	422	6053	4062	0
28	6	414	155	5093	1025	0
28	7	326	446	5057	0057	0
28	8	224	362	3095	0079	0
28	9	185	161	5085	3	0
29	0	300	357	0094	5026	0
29	1	119	299	1018	1072	0
29	2	197	351	1038	2052	0
29	3	317	57	1009	5095	0
29	4	2	225	0	4011	0
29	5	376	415	1006	407	0
29	6	417	162	1024	1003	0
29	7	330	450	1007	0081	0
29	8	229	365	106	0055	0
29	9	177	160	1039	3019	0
30	0	309	358	906	0011	0
30	1	120	305	4094	1042	0
30	2	188	356	7044	2062	0
30	3	326	51	9078	5077	0
30	4	2	226	255067	1078	0
30	5	378	409	6024	5003	0
30	6	425	164	6002	0032	0
30	7	335	454	5088	0058	0
30	8	234	371	4054	0084	0
30	9	168	163	6067	2081	0
31	0	318	355	0093	6002	0
31	1	114	310	1051	2036	0
31	2	180	350	104	3077	0
31	3	336	46	1011	5079	0
31	4	2	226	0	1076	0
31	5	382	403	1012	5021	0
31	6	424	171	102	1063	0
31	7	340	458	1006	0074	0
31	8	240	369	105	5095	0
31	9	165	171	1026	2003	0
32	0	323	350	8053	5047	0
32	1	108	312	4077	208	0
32	2	171	350	6043	3016	0
32	3	345	49	8081	0026	0
32	4	2	227	955037	0071	0
32	5	377	397	6055	4004	0
32	6	426	178	5098	1032	0
32	7	346	460	6002	0024	0
32	8	247	370	4031	0024	0
32	9	158	174	6002	2068	0
33	0	332	348	1	6009	0
33	1	101	313	1033	3005	0
33	2	166	357	1035	2013	0
33	3	353	54	1012	0059	0
33	4	3	227	0	0009	0
33	5	375	391	1004	4036	0
33	6	422	185	1029	2007	0
33	7	347	466	1007	1035	0
33	8	254	371	1071	0012	0
33	9	151	172	1026	3051	0
34	0	336	341	7071	5026	0
34	1	95	314	5002	2099	0
34	2	170	364	6017	1003	0
34	3	362	57	8041	0031	0
34	4	2	227	5859026	3029	0
34	5	371	386	6056	4004	0
34	6	427	192	6044	1002	0
34	7	352	470	602	0073	0
34	8	261	372	3084	0014	0
34	9	150	179	5073	107	0
35	0	344	338	1017	5091	0
35	1	90	309	1031	3092	0
35	2	175	371	1036	1002	0
35	3	372	57	1014	6023	0
35	4	1	226	0	3084	0
35	5	370	378	1008	407	0
35	6	428	201	1039	1037	0
35	7	353	476	0094	1048	0
35	8	267	372	1066	6025	0
35	9	143	181	1022	2075	0
36	0	353	338	7084	6023	0
36	1	84	308	4082	3043	0
36	2	179	379	6032	0098	0
36	3	379	53	7065	5082	0
36	4	1	225	4670008	5009	0
36	5	377	376	6006	5095	0
36	6	428	210	6024	106	0
36	7	353	482	607	1051	0
36	8	272	373	3036	0021	0
36	9	136	180	6015	3036	0
37	0	363	337	102	6025	0
37	1	80	304	1008	3092	0
37	2	179	387	1028	1056	0
37	3	381	44	1014	4094	0
37	4	2	225	0	5045	0
37	5	383	377	1012	0011	0
37	6	431	218	1044	1022	0
37	7	352	488	0086	1071	0
37	8	277	376	1062	0064	0
37	9	129	176	1023	3067	0
38	0	371	336	7049	601	0
38	1	78	300	4042	4013	0
38	2	179	394	6	1064	0
38	3	383	37	6077	4092	0
38	4	1	224	18448011	4012	0
38	5	388	373	5072	5058	0
38	6	430	228	6076	1071	0
38	7	350	494	7082	1096	0
38	8	280	383	4048	1019	0
38	9	122	175	5093	3021	0
39	0	378	330	1013	5059	0
39	1	74	297	1002	3071	0
39	2	187	396	1038	002	0
39	3	386	29	1019	5008	0
39	4	1	224	0	301	0
39	5	393	367	1033	5033	0
39	6	423	232	102	2061	0
39	7	336	498	0076	3017	0
39	8	282	389	1051	1017	0
39	9	114	177	1033	2093	0
40	0	386	328	7011	5098	0
40	1	71	293	5053	4006	0
40	2	193	401	5075	0073	0
40	3	389	22	6029	5008	0
40	4	1	224	7005094	2058	0
40	5	398	364	4058	5077	0
40	6	416	235	6036	2066	0
40	7	333	494	7009	3096	0
40	8	280	395	309	1088	0
40	9	107	177	5056	3009	0
41	0	393	328	1008	0003	0
41	1	65	296	1014	206	0
41	2	200	406	1042	0062	0
41	3	392	16	1021	5024	0
41	4	1	225	0	2076	0
41	5	400	358	1039	5001	0
41	6	418	242	1008	1028	0
41	7	330	490	0075	4025	0
41	8	280	400	1042	1065	0
41	9	103	173	1017	3096	0
42	0	401	330	7061	0029	0
42	1	59	299	6028	2076	0
42	2	201	413	5042	104	0
42	3	393	7	6095	4076	0
42	4	0	225	9811047	3011	0
42	5	401	352	4	4082	0
42	6	418	248	5073	1066	0
42	7	328	484	7049	4027	0
42	8	278	406	4036	1081	0
42	9	100	167	5059	4024	0
43	0	405	338	101	101	0
43	1	55	305	1011	2003	0
43	2	198	422	1061	1095	0
43	3	410	5	1028	005	0
43	4	0	225	0	5085	0
43	5	401	346	1049	4074	0
43	6	416	254	101	1077	0
43	7	324	481	0076	3087	0
43	8	280	413	1056	103	0
43	9	100	161	1011	4078	0
44	0	399	344	7039	2033	0
44	1	62	307	6047	003	0
44	2	195	430	5021	1083	0
44	3	419	5	6039	0002	0
44	4	0	224	22759082	6016	0
44	5	396	344	3086	306	0
44	6	422	258	6042	006	0
44	7	318	478	8076	3055	0
44	8	277	418	4025	2014	0
44	9	103	156	5024	5027	0
45	0	391	347	1023	2083	0
45	1	69	310	101	0035	0
45	2	194	438	1058	1069	0
45	3	426	9	1031	0055	0
45	4	0	224	0	602	0
45	5	390	347	1066	2056	0
45	6	426	264	1014	1	0
45	7	312	475	007	3063	0
45	8	276	425	1051	1061	0
45	9	102	150	1012	4044	0
46	0	382	351	7064	2068	0
46	1	71	316	5053	103	0
46	2	196	445	4079	1035	0
46	3	434	9	6053	6024	0
46	4	1	225	314205099	1	0
46	5	385	352	4009	204	0
46	6	433	262	6055	6002	0
46	7	309	469	10008	4021	0
46	8	282	428	4043	0057	0
46	9	100	143	6032	4047	0
47	0	380	359	1015	1082	0
47	1	71	321	1007	1052	0
47	2	198	453	107	1034	0
47	3	441	7	1015	5096	0
47	4	1	224	0	4049	0
47	5	381	357	1068	2022	0
47	6	441	265	1022	0039	0
47	7	307	462	007	4046	0
47	8	288	429	1032	0008	0
47	9	100	136	1018	4077	0
48	0	381	368	8002	1051	0
48	1	65	325	6012	2058	0
48	2	201	460	4047	1018	0
48	3	448	6	5063	6018	0
48	4	0	225	214896094	204	0
48	5	378	362	3032	2009	0
48	6	444	273	6078	1021	0
48	7	308	455	909	4079	0
48	8	290	435	5013	1018	0
48	9	96	130	5072	4012	0
49	0	388	375	1023	0069	0
49	1	61	329	0096	2046	0
49	2	203	467	1058	1022	0
49	3	454	6	1003	6022	0
49	4	0	225	0	2077	0
49	5	372	366	2015	206	0
49	6	450	279	1027	0073	0
49	7	305	449	0071	4034	0
49	8	295	440	1027	0085	0
49	9	94	125	1004	4037	0
