maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
19	3	7	450	1082	0	0
19	4	255	255	10	3014	0
19	5	450	455	0	-1057	0
19	6	450	143	901	-1057	0
19	7	29	455	407	3014	0
19	8	86	50	3093	0	0
19	9	250	255	0	-1057	0
20	0	108	250	103	0	0
20	1	455	250	0	1057	0
20	2	349	255	503	3014	0
20	3	10	450	2085	0	0
20	4	255	255	0	3014	0
20	5	450	454	0034	-1057	0
20	6	450	133	9079	-1057	0
20	7	25	455	3089	3014	0
20	8	89	50	3032	0	0
20	9	250	255	0	-1057	0
21	0	111	250	209	0	0
21	1	455	250	0	1057	0
21	2	343	255	603	3014	0
21	3	14	450	4025	0	0
21	4	255	255	0	3014	0
21	5	450	454	0	-1057	0
21	6	450	123	10	-1057	0
21	7	20	455	4087	3014	0
21	8	92	50	3015	0	0
21	9	250	250	0	0	0
22	0	114	250	3029	0	0
22	1	455	250	0	1057	0
22	2	337	255	5055	3014	0
22	3	19	450	5003	0	0
22	4	255	255	109	1057	0
22	5	450	454	0007	-1057	0
22	6	450	113	10	-1057	0
22	7	15	455	4092	3014	0
22	8	96	50	3071	0	0
22	9	250	250	0073	0	0
23	0	119	250	5027	0	0
23	1	455	250	0	1057	0
23	2	332	255	4085	3014	0
23	3	24	450	5049	0	0
23	4	255	257	2043	1057	0
23	5	450	454	0	-1057	0
23	6	450	104	8082	-1057	0
23	7	8	455	6055	3014	0
23	8	99	50	3031	0	0
23	9	252	250	1091	0	0
24	0	125	250	6004	0	0
24	1	455	250	0	1057	0
24	2	327	255	5029	3014	0
24	3	29	450	4021	0	0
24	4	255	260	3016	1057	0
24	5	450	454	0	-1057	0
24	6	450	94	10	-1057	0
24	7	1	455	7047	3014	0
24	8	101	50	1059	0	0
