maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=100	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
1	0	50	212	0	-1057	0
1	1	455	151	1045	1057	0
1	2	473	250	0	0	0
1	3	250	422	0	-1057	0
1	4	226	255	1069	3014	0
1	5	55	221	1064	1057	0
1	6	250	10	0078	-1057	0
1	7	459	455	1082	3014	0
1	8	114	455	0	3014	0
1	9	50	9	1027	-1057	0
1	10	490	250	1	0	0
1	11	368	250	0	0	0
1	12	16	450	0019	0	0
1	13	55	305	0031	1057	0
1	14	25	255	0	3014	0
1	15	450	402	0028	-1057	0
1	16	50	109	002	-1057	0
1	17	255	321	1035	1057	0
1	18	455	421	009	1057	0
1	19	455	285	0	1057	0
1	20	71	255	0	3014	0
1	21	457	250	0069	0	0
1	22	206	450	0016	0	0
1	23	461	250	0	0	0
1	24	24	50	0	0	0
1	25	424	450	0	0	0
1	26	255	355	1078	1057	0
1	27	455	255	1038	3014	0
1	28	455	150	0	1057	0
1	29	250	60	0	-1057	0
1	30	110	50	0	0	0
1	31	450	385	1059	-1057	0
1	32	198	455	0056	3014	0
1	33	471	55	1029	3014	0
1	34	250	193	0	-1057	0
1	35	267	50	0038	0	0
1	36	1	455	0081	3014	0
1	37	35	50	1037	0	0
1	38	481	455	0	3014	0
1	39	369	250	0043	0	0
1	40	450	132	0082	-1057	0
1	41	455	204	1065	1057	0
1	42	450	129	0006	-1057	0
1	43	68	455	0017	3014	0
1	44	485	55	0	3014	0
1	45	86	455	0025	3014	0
1	46	50	234	0	-1057	0
1	47	450	272	1095	-1057	0
1	48	58	55	0053	3014	0
1	49	6	250	0	0	0
1	50	50	326	1065	-1057	0
1	51	255	330	0	1057	0
1	52	250	124	0001	-1057	0
1	53	50	485	1092	-1057	0
1	54	297	255	0001	3014	0
1	55	250	371	1019	-1057	0
1	56	342	255	0	3014	0
1	57	310	55	0	3014	0
1	58	250	71	0	-1057	0
1	59	250	186	0	-1057	0
1	60	50	130	0002	-1057	0
1	61	55	447	0067	1057	0
1	62	455	469	0	1057	0
1	63	455	147	1077	1057	0
1	64	236	455	0	3014	0
1	65	250	9	0077	-1057	0
1	66	255	35	0	1057	0
1	67	46	250	0	0	0
1	68	466	55	0	3014	0
1	69	250	178	0	-1057	0
1	70	55	352	1014	1057	0
1	71	255	148	1088	1057	0
1	72	250	494	0	-1057	0
1	73	458	250	0	0	0
1	74	462	55	1017	3014	0
1	75	376	55	0	3014	0
1	76	135	55	0	3014	0
1	77	55	6	0	1057	0
1	78	413	250	1006	0	0
1	79	455	8	1003	1057	0
1	80	250	221	0	-1057	0
1	81	255	109	0095	1057	0
1	82	318	450	0093	0	0
1	83	55	375	0	1057	0
1	84	455	312	1069	1057	0
1	85	457	55	1005	3014	0
1	86	446	55	0088	3014	0
1	87	55	92	0061	1057	0
1	88	255	226	0	1057	0
1	89	250	197	0	-1057	0
1	90	455	124	0	1057	0
1	91	455	68	0043	1057	0
1	92	318	250	1073	0	0
1	93	55	462	0	1057	0
1	94	276	455	0	3014	0
1	95	312	255	1029	3014	0
1	96	460	250	0	0	0
1	97	250	192	0	-1057	0
1	98	310	55	0	3014	0
1	99	255	212	0	1057	0
2	0	50	212	0033	-1057	0
2	1	455	153	2	1057	0
2	2	473	250	0	0	0
2	3	250	422	0	-1057	0
2	4	223	255	2085	3014	0
2	5	55	224	3044	1057	0
2	6	250	10	0061	-1057	0
2	7	457	455	1032	3014	0
2	8	114	455	0	3014	0
2	9	50	7	1064	-1057	0
2	10	490	250	0	0	0
2	11	368	250	0031	0	0
2	12	16	450	0	0	0
2	13	55	307	104	1057	0
2	14	24	255	0088	3014	0
2	15	450	401	1046	-1057	0
2	16	50	109	0	-1057	0
2	17	255	323	1059	1057	0
2	18	455	423	2081	1057	0
2	19	455	286	1035	1057	0
2	20	71	255	0	3014	0
2	21	457	250	0064	0	0
2	22	206	450	0	0	0
2	23	461	250	0	0	0
2	24	24	50	0	0	0
2	25	424	450	0	0	0
2	26	255	357	2022	1057	0
2	27	455	255	2045	3014	0
