maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
1	0	413	450	0061	0	0
1	1	455	490	1076	1057	0
1	2	415	450	0	0	0
1	3	356	55	0	3014	0
1	4	50	311	0	-1057	0
1	5	455	328	0095	1057	0
1	6	480	50	1062	0	0
1	7	263	255	1068	3014	0
1	8	250	349	1001	-1057	0
1	9	50	485	101	-1057	0
2	0	414	450	0081	0	0
2	1	455	492	1098	1057	0
2	2	415	450	0	0	0
2	3	355	55	0069	3014	0
2	4	50	310	1026	-1057	0
2	5	455	330	204	1057	0
2	6	483	50	2085	0	0
2	7	259	255	3018	3014	0
2	8	250	347	107	-1057	0
2	9	50	484	1055	-1057	0
3	0	414	450	0	0	0
3	1	455	493	007	1057	0
3	2	416	450	1015	0	0
3	3	353	55	1063	3014	0
3	4	50	308	1074	-1057	0
3	5	455	334	308	1057	0
3	6	487	50	307	0	0
3	7	256	255	3014	3014	0
3	8	250	346	1008	-1057	0
3	9	50	481	3014	-1057	0
4	0	414	450	0	0	0
4	1	455	494	1043	1057	0
4	2	419	450	3	0	0
4	3	352	55	1002	3014	0
4	4	50	306	2062	-1057	0
4	5	455	340	507	1057	0
4	6	490	50	3034	0	0
4	7	255	255	4096	3014	0
4	8	250	344	2052	-1057	0
4	9	50	477	3059	-1057	0
5	0	415	450	104	0	0
5	1	455	497	2084	1057	0
5	2	423	450	4079	0	0
5	3	351	55	0086	3014	0
5	4	50	303	2074	-1057	0
5	5	455	344	4023	1057	0
5	6	495	50	4071	0	0
5	7	255	255	0	3014	0
5	8	250	341	3001	-1057	0
5	9	50	474	3007	-1057	0
6	0	417	450	2001	0	0
6	1	455	500	3097	1057	0
6	2	429	450	5013	0	0
6	3	351	55	0	3014	0
6	4	50	300	301	-1057	0
6	5	455	349	5025	1057	0
6	6	499	50	4013	0	0
6	7	255	255	0	3014	0
6	8	250	339	1072	-1057	0
6	9	50	469	4075	-1057	0
7	0	420	450	3033	0	0
7	1	455	500	0	1057	0
7	2	435	450	6042	0	0
7	3	351	55	0	3014	0
7	4	50	298	1047	-1057	0
7	5	455	353	3098	1057	0
7	6	500	50	3008	0	0
7	7	255	255	0	3014	0
7	8	250	337	1048	-1057	0
7	9	50	464	5046	-1057	0
8	0	425	450	4053	0	0
8	1	450	500	0	-1057	0
8	2	442	450	7005	0	0
8	3	351	55	0012	3014	0
8	4	50	296	2071	-1057	0
8	5	455	358	4042	1057	0
8	6	500	50	0	0	0
8	7	255	255	0	3014	0
8	8	250	334	3036	-1057	0
8	9	50	460	3051	-1057	0
9	0	431	450	6019	0	0
9	1	450	498	1057	-1057	0
9	2	450	450	8061	0	0
9	3	350	55	105	3014	0
9	4	50	293	2003	-1057	0
9	5	455	363	5013	1057	0
9	6	500	50	0	0	0
9	7	255	255	0	3014	0
9	8	250	331	2081	-1057	0
9	9	50	456	4042	-1057	0
10	0	436	450	4052	0	0
10	1	450	495	3016	-1057	0
10	2	450	450	0	0	0
10	3	349	55	0099	3014	0
10	4	50	291	2077	-1057	0
10	5	455	367	4012	1057	0
10	6	500	50	0	0	0
10	7	255	255	0	3014	0
10	8	250	329	2074	-1057	0
10	9	50	455	3059	-1057	0
11	0	440	450	3089	0	0
11	1	450	493	1077	-1057	0
11	2	450	450	0	0	0
11	3	349	55	0	3014	0
11	4	50	287	4009	-1057	0
11	5	455	372	4079	1057	0
11	6	500	50	0	0	0
11	7	250	255	0	-1057	0
11	8	250	324	4031	-1057	0
11	9	50	455	0	-1057	0
12	0	440	450	0	0	0
12	1	450	489	306	-1057	0
12	2	450	450	0	0	0
12	3	349	55	0	3014	0
12	4	50	284	2021	-1057	0
12	5	455	376	408	1057	0
12	6	500	50	0	0	0
12	7	250	253	1063	-1057	0
12	8	250	321	2096	-1057	0
12	9	50	455	0	-1057	0
13	0	440	450	0	0	0
13	1	450	485	4048	-1057	0
13	2	450	450	0	0	0
13	3	348	55	0074	3014	0
13	4	50	281	3022	-1057	0
13	5	455	380	3063	1057	0
13	6	500	50	0	0	0
13	7	250	251	1081	-1057	0
13	8	250	317	4051	-1057	0
13	9	49	455	0056	3014	0
14	0	440	450	0067	0	0
14	1	450	479	5078	-1057	0
14	2	455	450	0027	1057	0
14	3	348	55	0	3014	0
14	4	50	278	3012	-1057	0
14	5	455	385	4097	1057	0
14	6	500	50	0	0	0
14	7	250	248	2072	-1057	0
14	8	250	311	5034	-1057	0
14	9	49	455	0021	3014	0
15	0	443	450	2033	0	0
15	1	450	472	7009	-1057	0
15	2	455	451	1045	1057	0
15	3	347	55	0096	3014	0
15	4	50	274	4003	-1057	0
15	5	455	389	3056	1057	0
15	6	498	55	1046	3014	0
15	7	250	245	3056	-1057	0
15	8	250	308	307	-1057	0
15	9	49	455	0	3014	0
16	0	445	450	2057	0	0
16	1	450	464	7091	-1057	0
16	2	455	454	2088	1057	0
16	3	345	55	2067	3014	0
16	4	50	270	4045	-1057	0
16	5	455	392	2095	1057	0
16	6	498	55	0	3014	0
16	7	250	241	3086	-1057	0
16	8	250	302	5031	-1057	0
16	9	47	455	1065	3014	0
17	0	448	450	2059	0	0
17	1	450	457	7059	-1057	0
17	2	455	456	1048	1057	0
17	3	342	55	2088	3014	0
17	4	50	266	3042	-1057	0
17	5	455	395	3087	1057	0
17	6	498	55	0052	3014	0
17	7	250	236	5015	-1057	0
17	8	250	297	5064	-1057	0
17	9	45	455	1094	3014	0
18	0	450	450	3092	0	0
18	1	450	455	8026	-1057	0
18	2	455	458	2033	1057	0
18	3	338	55	3049	3014	0
18	4	50	265	1066	-1057	0
18	5	455	400	4059	1057	0
18	6	498	55	0	3014	0
18	7	250	230	5096	-1057	0
18	8	250	290	6085	-1057	0
18	9	45	455	0046	3014	0
19	0	450	450	0	0	0
19	1	450	445	9039	-1057	0
19	2	455	461	3057	1057	0
19	3	335	55	3033	3014	0
19	4	50	264	0039	-1057	0
19	5	455	405	5023	1057	0
19	6	498	55	0	3014	0
19	7	250	225	4066	-1057	0
19	8	250	282	7095	-1057	0
19	9	45	455	0	3014	0
20	0	450	450	0	0	0
20	1	450	435	10	-1057	0
20	2	455	465	3083	1057	0
20	3	330	55	4096	3014	0
20	4	50	264	0	-1057	0
20	5	455	411	5032	1057	0
20	6	496	55	1046	3014	0
20	7	250	222	2087	-1057	0
20	8	250	273	8052	-1057	0
20	9	44	455	002	3014	0
21	0	450	450	0	0	0
21	1	450	425	10	-1057	0
21	2	455	471	5048	1057	0
21	3	323	55	6082	3014	0
21	4	50	264	0	-1057	0
21	5	455	415	4052	1057	0
21	6	493	55	2062	3014	0
21	7	250	219	3041	-1057	0
21	8	250	266	7071	-1057	0
21	9	44	455	0037	3014	0
22	0	455	451	1045	1057	0
22	1	450	417	8024	-1057	0
22	2	455	476	507	1057	0
22	3	315	55	7082	3014	0
22	4	50	264	0	-1057	0
22	5	455	419	4035	1057	0
22	6	493	55	0071	3014	0
22	7	250	214	4063	-1057	0
22	8	250	258	7053	-1057	0
22	9	44	455	0	3014	0
23	0	455	452	1025	1057	0
23	1	450	408	8077	-1057	0
23	2	455	481	403	1057	0
23	3	306	55	9026	3014	0
23	4	50	264	0	-1057	0
23	5	455	424	4084	1057	0
23	6	491	55	2013	3014	0
23	7	250	208	6029	-1057	0
23	8	250	255	803	-1057	0
23	9	44	455	0	3014	0
24	0	455	454	1044	1057	0
24	1	450	401	7053	-1057	0
24	2	455	486	503	1057	0
24	3	297	55	8071	3014	0
24	4	50	263	1026	-1057	0
24	5	455	431	6029	1057	0
24	6	488	55	2031	3014	0
24	7	250	200	8003	-1057	0
24	8	250	255	0	-1057	0
24	9	44	455	0059	3014	0
25	0	455	456	1093	1057	0
25	1	450	391	9052	-1057	0
25	2	455	493	6043	1057	0
25	3	289	55	7083	3014	0
25	4	50	261	2028	-1057	0
25	5	455	437	608	1057	0
25	6	485	55	3053	3014	0
25	7	250	190	10	-1057	0
25	8	250	255	0	-1057	0
25	9	42	455	1066	3014	0
26	0	455	459	3002	1057	0
26	1	450	381	10	-1057	0
26	2	455	500	7049	1057	0
26	3	280	55	9013	3014	0
26	4	50	259	1009	-1057	0
26	5	455	446	8074	1057	0
26	6	479	55	504	3014	0
26	7	250	181	8069	-1057	0
26	8	250	255	0	-1057	0
26	9	39	455	2087	3014	0
27	0	455	461	2057	1057	0
27	1	450	373	8025	-1057	0
27	2	450	500	7073	-1057	0
27	3	270	55	9079	3014	0
27	4	50	258	1024	-1057	0
27	5	455	450	8099	1057	0
27	6	472	55	7025	3014	0
27	7	250	171	10	-1057	0
27	8	250	255	0	-1057	0
27	9	35	455	3069	3014	0
28	0	455	465	3061	1057	0
28	1	450	366	6059	-1057	0
28	2	450	490	9032	-1057	0
28	3	260	55	10	3014	0
28	4	50	257	1063	-1057	0
28	5	455	450	0	1057	0
28	6	465	55	7026	3014	0
28	7	250	161	10	-1057	0
28	8	250	255	0	-1057	0
28	9	30	455	4095	3014	0
29	0	455	467	203	1057	0
29	1	450	360	6057	-1057	0
29	2	450	480	9081	-1057	0
29	3	255	55	10	3014	0
29	4	50	256	0069	-1057	0
29	5	455	450	0	1057	0
29	6	456	55	9025	3014	0
29	7	250	151	10	-1057	0
29	8	250	255	0	-1057	0
29	9	24	455	6031	3014	0
30	0	455	468	1035	1057	0
30	1	450	351	8036	-1057	0
30	2	450	472	8008	-1057	0
30	3	255	55	0	3014	0
30	4	50	255	1076	-1057	0
30	5	455	450	0	1057	0
30	6	455	55	8036	3014	0
30	7	250	141	10	-1057	0
30	8	250	255	0	-1057	0
30	9	18	455	6019	3014	0
31	0	455	471	2044	1057	0
31	1	450	342	9073	-1057	0
31	2	450	466	6052	-1057	0
31	3	255	55	0	3014	0
31	4	50	255	0	-1057	0
31	5	455	450	0	1057	0
31	6	450	55	7069	-1057	0
31	7	250	133	8007	-1057	0
31	8	250	250	0046	0	0
31	9	11	455	6079	3014	0
32	0	455	474	3059	1057	0
32	1	450	332	10	-1057	0
32	2	450	459	7005	-1057	0
32	3	255	55	0	3014	0
32	4	50	255	0	-1057	0
32	5	455	450	0	1057	0
32	6	450	48	601	-1057	0
32	7	250	127	6043	-1057	0
32	8	250	250	0043	0	0
32	9	3	455	8028	3014	0
33	0	455	478	3066	1057	0
33	1	450	323	8022	-1057	0
33	2	450	455	6085	-1057	0
33	3	254	55	009	3014	0
33	4	50	255	0	-1057	0
33	5	455	450	0	1057	0
33	6	450	41	7061	-1057	0
33	7	250	121	5027	-1057	0
33	8	252	250	1028	0	0
33	9	0	455	9017	3014	0
34	0	455	482	4035	1057	0
34	1	450	314	9018	-1057	0
34	2	450	447	7022	-1057	0
34	3	253	55	1004	3014	0
34	4	50	255	0	-1057	0
34	5	455	451	1028	1057	0
34	6	450	33	8018	-1057	0
34	7	250	116	5009	-1057	0
34	8	255	250	3006	0	0
34	9	0	450	9083	0	0
35	0	455	488	5036	1057	0
35	1	450	304	9064	-1057	0
35	2	450	439	8022	-1057	0
35	3	251	55	1035	3014	0
35	4	50	255	0	-1057	0
35	5	455	452	1053	1057	0
35	6	450	23	9084	-1057	0
35	7	250	113	3057	-1057	0
35	8	259	250	4057	0	0
35	9	9	450	9049	0	0
36	0	455	495	609	1057	0
36	1	450	294	10	-1057	0
36	2	450	429	9062	-1057	0
36	3	249	55	2058	3014	0
36	4	50	255	109	-1057	0
36	5	455	454	1058	1057	0
36	6	450	13	10	-1057	0
36	7	250	107	5033	-1057	0
36	8	264	250	4047	0	0
36	9	19	450	10	0	0
37	0	455	500	7079	1057	0
37	1	450	284	10	-1057	0
37	2	450	420	909	-1057	0
37	3	246	55	2074	3014	0
37	4	50	252	2027	-1057	0
37	5	455	454	0	1057	0
37	6	450	3	10	-1057	0
37	7	250	102	5094	-1057	0
37	8	267	250	3002	0	0
37	9	29	450	10	0	0
38	0	450	500	9041	-1057	0
38	1	450	274	10	-1057	0
38	2	450	410	10	-1057	0
38	3	242	55	3087	3014	0
38	4	50	249	3036	-1057	0
38	5	455	454	0	1057	0
38	6	450	0	9059	-1057	0
38	7	250	97	404	-1057	0
38	8	270	250	2097	0	0
38	9	38	450	9042	0	0
39	0	450	492	7057	-1057	0
39	1	450	264	10	-1057	0
39	2	450	400	10	-1057	0
39	3	237	55	407	3014	0
39	4	50	246	3037	-1057	0
39	5	455	455	1021	1057	0
39	6	455	8	8091	1057	0
39	7	250	92	5028	-1057	0
39	8	273	250	209	0	0
39	9	48	450	10	0	0
40	0	450	486	5071	-1057	0
40	1	450	256	8035	-1057	0
40	2	450	390	10	-1057	0
40	3	231	55	6032	3014	0
40	4	50	242	3085	-1057	0
40	5	455	455	0	1057	0
40	6	455	16	7066	1057	0
40	7	250	85	701	-1057	0
40	8	275	250	2083	0	0
40	9	50	450	802	0	0
41	0	450	479	7014	-1057	0
41	1	450	255	9024	-1057	0
41	2	450	380	9015	-1057	0
41	3	224	55	6063	3014	0
41	4	50	237	4038	-1057	0
41	5	455	456	0055	1057	0
41	6	455	24	7095	1057	0
41	7	250	78	7026	-1057	0
41	8	277	250	1081	0	0
41	9	50	450	9021	-1057	0
42	0	450	472	7057	-1057	0
42	1	450	255	10	-1057	0
42	2	450	370	10	-1057	0
42	3	216	55	8043	3014	0
42	4	50	232	4097	-1057	0
42	5	455	458	2025	1057	0
42	6	455	34	9049	1057	0
42	7	250	71	6061	-1057	0
42	8	281	250	3032	0	0
42	9	50	442	7025	-1057	0
43	0	450	463	8039	-1057	0
43	1	450	246	8033	-1057	0
43	2	450	360	10	-1057	0
43	3	209	55	6083	3014	0
43	4	50	228	4036	-1057	0
43	5	455	460	2052	1057	0
43	6	455	42	8032	1057	0
43	7	250	66	5004	-1057	0
43	8	285	250	4006	0	0
43	9	50	436	5097	-1057	0
44	0	450	456	7005	-1057	0
44	1	450	238	8055	-1057	0
44	2	450	351	9007	-1057	0
44	3	202	55	7022	3014	0
44	4	50	223	4063	-1057	0
44	5	455	464	3073	1057	0
44	6	455	50	9088	1057	0
44	7	250	59	608	-1057	0
44	8	287	250	2014	0	0
44	9	50	430	6049	-1057	0
45	0	450	455	807	-1057	0
45	1	450	230	7099	-1057	0
45	2	450	343	8042	-1057	0
45	3	193	55	8075	3014	0
45	4	50	220	3053	-1057	0
45	5	455	469	5015	1057	0
45	6	455	50	8057	0	0
45	7	250	55	7059	-1057	0
45	8	289	250	1099	0	0
45	9	50	424	5062	-1057	0
46	0	460	450	10	0	0
46	1	450	222	7028	-1057	0
46	2	450	333	908	-1057	0
46	3	183	55	10	3014	0
46	4	50	215	4053	-1057	0
46	5	455	475	5038	1057	0
46	6	463	50	8079	0	0
46	7	258	50	8021	0	0
46	8	290	250	1054	0	0
46	9	50	418	5088	-1057	0
47	0	470	450	10	0	0
47	1	450	216	6083	-1057	0
47	2	450	325	806	-1057	0
47	3	174	55	9014	3014	0
47	4	50	209	6051	-1057	0
47	5	455	479	4066	1057	0
47	6	473	50	10	0	0
47	7	266	50	803	0	0
47	8	291	250	004	0	0
47	9	50	411	7054	-1057	0
48	0	480	450	10	0	0
48	1	450	208	7018	-1057	0
48	2	450	317	7083	-1057	0
48	3	164	55	10	3014	0
48	4	50	203	5041	-1057	0
48	5	455	484	4015	1057	0
48	6	483	50	9098	0	0
48	7	275	50	8086	0	0
48	8	293	250	1099	0	0
48	9	50	403	8008	-1057	0
49	0	490	450	10	0	0
49	1	450	202	6062	-1057	0
49	2	450	310	6083	-1057	0
49	3	154	55	10	3014	0
49	4	50	196	7015	-1057	0
49	5	455	490	6012	1057	0
49	6	493	50	9039	0	0
49	7	285	50	10	0	0
49	8	296	250	3003	0	0
49	9	50	393	9032	-1057	0
50	0	500	450	10	0	0
50	1	450	197	4096	-1057	0
50	2	450	302	7057	-1057	0
50	3	144	55	10	3014	0
50	4	50	191	5026	-1057	0
50	5	455	497	7077	1057	0
50	6	500	50	8004	0	0
50	7	295	50	10	0	0
50	8	300	250	404	0	0
50	9	50	384	9051	-1057	0
51	0	500	455	10	3014	0
51	1	450	193	3083	-1057	0
51	2	450	293	9018	-1057	0
51	3	135	55	9035	3014	0
51	4	50	188	3032	-1057	0
51	5	455	500	8038	1057	0
51	6	491	55	8036	3014	0
51	7	305	50	10	0	0
51	8	305	250	4087	0	0
51	9	50	374	9093	-1057	0
52	0	491	455	803	3014	0
52	1	450	190	2086	-1057	0
52	2	450	283	9064	-1057	0
52	3	125	55	9094	3014	0
52	4	50	184	4002	-1057	0
52	5	450	500	10	-1057	0
52	6	482	55	9003	3014	0
52	7	313	50	806	0	0
52	8	309	250	4032	0	0
52	9	50	364	10	-1057	0
53	0	481	455	10	3014	0
53	1	450	189	1055	-1057	0
53	2	450	275	8048	-1057	0
53	3	115	55	10	3014	0
53	4	50	178	5065	-1057	0
53	5	450	490	9026	-1057	0
53	6	474	55	8048	3014	0
53	7	323	50	9007	0	0
53	8	315	250	5018	0	0
53	9	50	354	10	-1057	0
54	0	471	455	10	3014	0
54	1	450	187	1078	-1057	0
54	2	450	268	7004	-1057	0
54	3	105	55	10	3014	0
54	4	50	171	7019	-1057	0
54	5	450	480	10	-1057	0
54	6	466	55	7083	3014	0
54	7	330	50	7068	0	0
54	8	319	250	4024	0	0
54	9	50	344	10	-1057	0
55	0	461	455	10	3014	0
55	1	450	185	2007	-1057	0
55	2	450	261	7029	-1057	0
55	3	95	55	10	3014	0
55	4	50	163	7083	-1057	0
55	5	450	470	10	-1057	0
55	6	457	55	9018	3014	0
55	7	338	50	8003	0	0
55	8	324	250	5058	0	0
55	9	50	334	9064	-1057	0
56	0	455	455	10	3014	0
56	1	450	184	0051	-1057	0
56	2	450	255	9027	-1057	0
56	3	85	55	9049	3014	0
56	4	50	153	9056	-1057	0
56	5	450	462	8007	-1057	0
56	6	455	55	10	3014	0
56	7	347	50	8066	0	0
56	8	328	250	3094	0	0
56	9	50	324	10	-1057	0
57	0	455	455	10	3014	0
57	1	450	184	005	-1057	0
57	2	450	255	902	-1057	0
57	3	77	55	7084	3014	0
57	4	50	146	7079	-1057	0
57	5	450	455	8084	-1057	0
57	6	455	55	10	1057	0
57	7	357	50	9062	0	0
57	8	332	250	4017	0	0
57	9	50	314	10	-1057	0
58	0	447	455	7037	3014	0
58	1	450	184	0	-1057	0
58	2	450	246	8082	-1057	0
58	3	71	55	6002	3014	0
58	4	50	137	9006	-1057	0
58	5	442	455	7037	3014	0
58	6	455	65	10	1057	0
58	7	366	50	9066	0	0
58	8	339	250	6005	0	0
58	9	50	304	10	-1057	0
59	0	441	455	6007	3014	0
59	1	450	183	0086	-1057	0
59	2	450	236	10	-1057	0
59	3	64	55	7051	3014	0
59	4	50	129	7038	-1057	0
59	5	436	455	6055	3014	0
59	6	455	75	10	1057	0
59	7	376	50	10	0	0
59	8	346	250	7059	0	0
59	9	50	296	8039	-1057	0
60	0	435	455	6017	3014	0
60	1	450	180	2044	-1057	0
60	2	450	226	10	-1057	0
60	3	58	55	5065	3014	0
60	4	50	123	6063	-1057	0
60	5	429	455	6017	3014	0
60	6	455	85	10	1057	0
60	7	386	50	10	0	0
60	8	355	250	8094	0	0
60	9	50	289	7003	-1057	0
61	0	430	455	4049	3014	0
61	1	450	177	3004	-1057	0
61	2	450	216	10	-1057	0
61	3	55	55	7054	3014	0
61	4	50	117	5006	-1057	0
61	5	423	455	6081	3014	0
61	6	455	93	8036	1057	0
61	7	396	50	10	0	0
61	8	365	250	10	0	0
61	9	50	281	7052	-1057	0
62	0	426	455	4076	3014	0
62	1	450	175	2029	-1057	0
62	2	450	206	10	-1057	0
62	3	50	55	8001	-1057	0
62	4	50	114	3089	-1057	0
62	5	415	455	7085	3014	0
62	6	455	103	10	1057	0
62	7	406	50	10	0	0
62	8	375	250	10	0	0
62	9	50	274	6095	-1057	0
