step,user,lat,lon
0,0,36.72017216062598,-4.489216979780855
0,1,36.713687578798435,-4.49234947666604
0,2,36.72031549737894,-4.492394422137292
0,3,36.714253349887564,-4.501403297275739
0,4,36.72114221055005,-4.495403023692891
0,5,36.718099523092164,-4.494102549500747
0,6,36.718207514351185,-4.501888182805717
0,7,36.71383596998777,-4.501869740471904
0,8,36.72226214145297,-4.5000120951543305
0,9,36.714092211936546,-4.4935957684880306
0,10,36.71816477410799,-4.478520373180101
0,11,36.71830171981236,-4.478755328322758
0,12,36.718244355192724,-4.473431501093753
0,13,36.717904190672655,-4.47944588103883
0,14,36.723272268934664,-4.475738026102931
1,0,36.720606197280595,-4.489262854213745
1,1,36.714133491443874,-4.49230118696698
1,2,36.720550922085444,-4.49228225113575
1,3,36.71429177806147,-4.5010055642670554
1,4,36.72125885064358,-4.4951827536798
1,5,36.7181444620995,-4.49369904138697
1,6,36.71833988786974,-4.502021460065315
1,7,36.713876153232306,-4.501721221638624
1,8,36.72228143136485,-4.50002943805088
1,9,36.714086500317194,-4.493539788076924
1,10,36.71837055000458,-4.478164775456113
1,11,36.71851192443707,-4.478987640284433
1,12,36.71829901621414,-4.473480219314494
1,13,36.71804968792472,-4.479383213911445
1,14,36.72346323087291,-4.4754587356948585
2,0,36.720580232592965,-4.489250231481134
2,1,36.714537974188126,-4.49221972472886
2,2,36.72067615459128,-4.492189422758296
2,3,36.71459237825351,-4.501018037442158
2,4,36.72129047114975,-4.49541926958376
2,5,36.71826381121115,-4.493596854016741
2,6,36.71830211443013,-4.502418508133899
2,7,36.7138467732343,-4.5016946073423885
2,8,36.7222912083769,-4.499901116033739
2,9,36.713795913292245,-4.493594954299756
2,10,36.71863387067025,-4.477902052714696
2,11,36.718101930640586,-4.479143469302669
2,12,36.71851221973417,-4.473497409693876
2,13,36.71805253405701,-4.479390331015031
2,14,36.72360347425418,-4.4755001088779585
3,0,36.72061705586071,-4.48926795586828
3,1,36.71476995040478,-4.492555131353621
3,2,36.72062050825421,-4.492240339582238
3,3,36.71466669932485,-4.501133072410605
3,4,36.7213244445099,-4.495302703670193
3,5,36.71797876497206,-4.493964217857173
3,6,36.718317442155055,-4.5024406813462745
3,7,36.713634821393974,-4.50168517655858
3,8,36.722205699279456,-4.50026154668035
3,9,36.71371424315619,-4.4936212708433985
3,10,36.7191122206758,-4.478032210984566
3,11,36.718105542366004,-4.4794100095954565
3,12,36.7183229043453,-4.473652671566316
3,13,36.71802467833178,-4.479853179934005
3,14,36.72360816599739,-4.47551705483676
4,0,36.72050444483779,-4.489280632112927
4,1,36.71476840625479,-4.492554676227366
4,2,36.720705705425836,-4.492284277888121
4,3,36.71465144225767,-4.501135548471414
4,4,36.721281403183376,-4.495428581836591
4,5,36.718232532754925,-4.4937196924224025
4,6,36.71851470589208,-4.502061115163831
4,7,36.713643835185245,-4.5018748120235506
4,8,36.72234603494272,-4.500620268470579
4,9,36.7138372693584,-4.4940981804240225
4,10,36.71902527608655,-4.47803629122812
4,11,36.717945136867435,-4.479658802408925
4,12,36.71858285089281,-4.47391477581513
4,13,36.71808834600945,-4.479825691201506
4,14,36.7238287514858,-4.475749916278036
5,0,36.720345835481254,-4.4891311786798385
5,1,36.7149958869947,-4.492378972270065
5,2,36.720543989463344,-4.492610512323703
5,3,36.71477531519295,-4.501437900558221
5,4,36.72123590476542,-4.495463276648099
5,5,36.71816144402504,-4.49352688225637
5,6,36.718562740774175,-4.501994121525343
5,7,36.71333971833499,-4.502138443907481
5,8,36.72221263075423,-4.500717048059261
5,9,36.71379342667442,-4.494087449797907
5,10,36.71910569873114,-4.477669001470514
5,11,36.718019552065705,-4.479753566648379
5,12,36.718621047365396,-4.474088369687172
5,13,36.71768160931941,-4.479542592919185
5,14,36.724090815505434,-4.475417619406365
6,0,36.72046096301955,-4.488677550458892
6,1,36.714895406149665,-4.49246759574637
6,2,36.72074056062805,-4.492363494223115
6,3,36.714830057295934,-4.501495585504953
6,4,36.721094483291225,-4.495320213269129
6,5,36.717965740243876,-4.4934679357272085
6,6,36.718648299311084,-4.501951082644786
6,7,36.71335355216235,-4.502176003164082
6,8,36.721985963208,-4.500782028409664
6,9,36.713907439199104,-4.494364845012775
6,10,36.71912378777666,-4.477833316777734
6,11,36.718016801186785,-4.479415542003357
6,12,36.71829975737123,-4.474032729116065
6,13,36.717909230766864,-4.479254804158887
6,14,36.72410689387562,-4.475492762431889
7,0,36.72047107239801,-4.48858398633785
7,1,36.71457980358092,-4.492408240454209
7,2,36.72067211136911,-4.492354821068554
7,3,36.71473679294641,-4.50163817192886
